"accession","source_code","ribotype"
"ERR045757","ERR",27
"ERR045743","ERR",27
"ERR045749","ERR",27
"ERR044848","ERR",27
"ERR044847","ERR",27
"ERR044845","ERR",27
"ERR044844","ERR",27
"ERR044843","ERR",27
"ERR044842","ERR",27
"ERR044841","ERR",27
"ERR044840","ERR",27
"ERR044839","ERR",27
"ERR044838","ERR",27
"ERR044837","ERR",27
"ERR044835","ERR",27
"ERR044834","ERR",27
"ERR044833","ERR",27
"ERR044832","ERR",27
"ERR044831","ERR",27
"ERR044830","ERR",27
"ERR044829","ERR",27
"ERR044828","ERR",27
"ERR044827","ERR",27
"ERR044826","ERR",27
"ERR044825","ERR",27
"ERR044818","ERR",27
"ERR044817","ERR",27
"ERR044816","ERR",27
"ERR044815","ERR",27
"ERR044814","ERR",27
"ERR044812","ERR",27
"ERR044808","ERR",27
"ERR044807","ERR",27
"ERR044806","ERR",27
"ERR044805","ERR",27
"ERR044804","ERR",27
"ERR044803","ERR",27
"ERR044802","ERR",27
"ERR044801","ERR",27
"ERR248749","ERR",27
"ERR248748","ERR",27
"ERR248739","ERR",27
"ERR248738","ERR",27
"ERR248716","ERR",27
"ERR248776","ERR",27
"ERR248769","ERR",27
"ERR248747","ERR",27
"ERR248746","ERR",27
"ERR248737","ERR",27
"ERR248736","ERR",27
"ERR248714","ERR",27
"ERR248713","ERR",27
"ERR248775","ERR",27
"ERR248768","ERR",27
"ERR248754","ERR",27
"ERR248753","ERR",27
"ERR248752","ERR",27
"ERR248735","ERR",27
"ERR248734","ERR",27
"ERR248733","ERR",27
"ERR248767","ERR",27
"ERR248766","ERR",27
"ERR248712","ERR",27
"ERR248711","ERR",27
"ERR248774","ERR",27
"ERR248773","ERR",27
"ERR248765","ERR",27
"ERR248732","ERR",27
"ERR248731","ERR",27
"ERR248764","ERR",27
"ERR248763","ERR",27
"ERR248762","ERR",27
"ERR248761","ERR",27
"ERR248730","ERR",27
"ERR248729","ERR",27
"ERR248728","ERR",27
"ERR248727","ERR",27
"ERR248726","ERR",27
"ERR248725","ERR",27
"ERR248724","ERR",27
"ERR248723","ERR",27
"ERR248760","ERR",27
"ERR248745","ERR",27
"ERR248744","ERR",27
"ERR248722","ERR",27
"ERR248759","ERR",27
"ERR248743","ERR",27
"ERR248742","ERR",27
"ERR248721","ERR",27
"ERR248720","ERR",27
"ERR248758","ERR",27
"ERR248757","ERR",27
"ERR248756","ERR",27
"ERR248755","ERR",27
"ERR248719","ERR",27
"ERR248772","ERR",27
"ERR248778","ERR",27
"ERR248771","ERR",27
"ERR248751","ERR",27
"ERR248750","ERR",27
"ERR248741","ERR",27
"ERR248740","ERR",27
"ERR248718","ERR",27
"ERR248717","ERR",27
"ERR248777","ERR",27
"ERR248770","ERR",27
"SRR5945685","SRR",27
"SRR6042359","SRR",27
"SRR6042363","SRR",27
"SRR6042369","SRR",27
"SRR7309137","SRR",27
"SRR7309147","SRR",27
"SRR7309153","SRR",27
"SRR7309162","SRR",27
"SRR7309164","SRR",27
"SRR7309168","SRR",27
"SRR7309177","SRR",27
"SRR7309185","SRR",27
"SRR7309202","SRR",27
"SRR7309208","SRR",27
"SRR7309209","SRR",27
"SRR7309222","SRR",27
"SRR7309237","SRR",27
"SRR7309238","SRR",27
"SRR7308886","SRR",27
"SRR7308889","SRR",27
"SRR7308890","SRR",27
"SRR7308909","SRR",27
"SRR7308911","SRR",27
