,accession,source_code,ribotype,c1
688,ERR232378,ERR,39.0,
689,ERR3473751,ERR,39.0,
690,ERR3465465,ERR,39.0,
691,ERR3465453,ERR,39.0,
692,ERR3465402,ERR,39.0,
693,ERR3465618,ERR,37.0,
694,ERR232387,ERR,36.0,
695,ERR232384,ERR,35.0,
696,ERR3473750,ERR,35.0,
697,ERR126274,ERR,33.0,
698,SRR1519394,SRR,33.0,
699,ERR1854839,ERR,33.0,
700,ERR2215990,ERR,33.0,
701,ERR3473805,ERR,33.0,
702,ERR3473876,ERR,32.0,
703,ERR833664,ERR,31.0,
704,ERR3465441,ERR,31.0,
705,ERR126284,ERR,29.0,
706,ERR3465515,ERR,29.0,
707,ERR833663,ERR,27.0,
708,ERR955906,ERR,27.0,
709,ERR928289,ERR,27.0,
710,ERR928310,ERR,27.0,
711,ERR928309,ERR,27.0,
712,ERR928306,ERR,27.0,
713,ERR928305,ERR,27.0,
714,ERR928304,ERR,27.0,
715,ERR928303,ERR,27.0,
716,ERR928300,ERR,27.0,
717,ERR928294,ERR,27.0,
718,ERR928292,ERR,27.0,
719,ERR928290,ERR,27.0,
720,ERR928288,ERR,27.0,
721,ERR928287,ERR,27.0,
722,ERR928283,ERR,27.0,
723,ERR928277,ERR,27.0,
724,ERR928276,ERR,27.0,
725,ERR928272,ERR,27.0,
726,ERR928271,ERR,27.0,
727,ERR928270,ERR,27.0,
728,ERR928267,ERR,27.0,
729,ERR928260,ERR,27.0,
730,ERR928258,ERR,27.0,
731,ERR928252,ERR,27.0,
732,ERR928247,ERR,27.0,
733,ERR928236,ERR,27.0,
734,ERR928234,ERR,27.0,
735,ERR928231,ERR,27.0,
736,ERR928228,ERR,27.0,
737,ERR928226,ERR,27.0,
738,ERR928308,ERR,27.0,
739,ERR928307,ERR,27.0,
740,ERR928285,ERR,27.0,
741,ERR928275,ERR,27.0,
742,ERR928274,ERR,27.0,
743,ERR928312,ERR,27.0,
744,ERR928311,ERR,27.0,
745,ERR928302,ERR,27.0,
746,ERR928299,ERR,27.0,
747,ERR928297,ERR,27.0,
748,ERR928296,ERR,27.0,
749,ERR928295,ERR,27.0,
750,ERR928284,ERR,27.0,
751,ERR928282,ERR,27.0,
752,ERR928281,ERR,27.0,
753,ERR928280,ERR,27.0,
754,ERR928279,ERR,27.0,
755,ERR928273,ERR,27.0,
756,ERR928269,ERR,27.0,
757,ERR928268,ERR,27.0,
758,ERR928265,ERR,27.0,
759,ERR1256644,ERR,27.0,
760,ERR026830,ERR,27.0,
761,ERR026831,ERR,27.0,
762,ERR026832,ERR,27.0,
763,ERR026833,ERR,27.0,
764,ERR026834,ERR,27.0,
765,ERR026835,ERR,27.0,
766,ERR026836,ERR,27.0,
767,ERR026837,ERR,27.0,
768,ERR026838,ERR,27.0,
769,ERR026839,ERR,27.0,
770,ERR026840,ERR,27.0,
771,ERR026841,ERR,27.0,
772,ERR026856,ERR,27.0,
773,ERR026857,ERR,27.0,
774,ERR026858,ERR,27.0,
775,ERR026859,ERR,27.0,
776,ERR026861,ERR,27.0,
777,ERR026862,ERR,27.0,
778,ERR026863,ERR,27.0,
779,ERR026864,ERR,27.0,
780,ERR026865,ERR,27.0,
781,ERR026866,ERR,27.0,
782,ERR026867,ERR,27.0,
783,ERR026844,ERR,27.0,
784,ERR026845,ERR,27.0,
785,ERR026847,ERR,27.0,
786,ERR026849,ERR,27.0,
787,ERR026850,ERR,27.0,
788,ERR026854,ERR,27.0,
