id,ribotype
93,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063/1', '063/1', '066', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '444', '444', '519', '519', '519', '524', '542', '542', '542', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
94,"['542', 'Strain630', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '247', '247', '251', '251', '434', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', '176', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1']"
95,"['033', '033', '033', '045/1', '066/2', '066', '078/4', '078ecdc', '126', '251', '045/1', '078']"
96,['001']
97,"['126', '247', '247']"
98,"['063/1', '251']"
99,"['434', '434']"
100,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', 'AI-56', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', '176', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
101,"['012', '027', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '542', '542', 'StrainCD196', '001', 'CloneA-15', 'CloneB-11']"
102,['542']
103,"['012', '027', '029', '029', '033', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '001', 'CloneA-15', 'CloneB-11']"
104,"['434', '434']"
105,['CloneA-6']
106,['063/1']
107,['AI5']
108,['519']
109,['063']
110,['001']
111,['029']
112,['Strain630']
113,"['063/1', '251']"
114,['001']
115,"['012', '027', '033', '063/1', '126', '247', '434', '444', '484', '519', '542', '012', '012', '012', '029', '033', '033', '033', '033', '045/1', '045', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '251', '251', '434', '484', '542', '542', '542', '045/1', 'CloneB-14', '078', 'CloneAT-7', 'CloneAT-8']"
116,"['029', '029', '434', '441/3', '524', '542', 'Strain630', 'StrainCD196', '012', '012', '029', '029', '029', '063', '063', '063', '247', '247', '247', '247', '434', '441', '444', '444', '444', '519', '519', '519', '524', '524', '524', '542', 'AI-56', 'StrainCD196', 'Strain027', 'AI5', '176', 'CloneA-6', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-9', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
117,['519']
118,"['029', '524', 'Strain630']"
119,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '001', 'CloneA-15', 'CloneB-11']"
120,"['033', '033', '033', '078/4', '126']"
121,"['CloneAT-11', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1']"
122,"['247', '444']"
123,"['063/1', '126', '247', '441/3', 'StrainCD196', '012', '012', '012', '012', '012', '029', '029', '033', '045', '063', '063', '063/1', '063/1', '066/2', '066', '247', '251', '251', '434', '441', '444', '484', '524', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', '176', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-1']"
124,"['063', '444']"
125,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '001', 'CloneA-15', 'CloneB-11']"
126,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '001', 'CloneA-15', 'CloneB-11']"
127,['012']
