"accession","source_code","ribotype"
"ERR026410","ERR",27
"ERR026411","ERR",27
"ERR026412","ERR",27
"ERR026413","ERR",27
"ERR026414","ERR",27
"ERR026415","ERR",27
"ERR026378","ERR",27
"ERR026379","ERR",27
"ERR026380","ERR",27
"ERR026381","ERR",27
"ERR026382","ERR",27
"ERR026383","ERR",27
"ERR026384","ERR",27
"ERR026386","ERR",27
"ERR026387","ERR",27
"ERR026388","ERR",27
"ERR026389","ERR",27
"ERR026365","ERR",27
"ERR026366","ERR",27
"ERR026367","ERR",27
"ERR026368","ERR",27
"ERR026369","ERR",27
"ERR026370","ERR",27
"ERR026371","ERR",27
"ERR026372","ERR",27
"ERR026374","ERR",27
"ERR026375","ERR",27
"ERR026376","ERR",27
"ERR025343","ERR",27
"ERR025344","ERR",27
"ERR025345","ERR",27
"ERR025346","ERR",27
"ERR025347","ERR",27
"ERR025348","ERR",27
"ERR025351","ERR",27
"ERR025352","ERR",27
"ERR025353","ERR",27
"ERR025354","ERR",27
"ERR028721","ERR",27
"ERR028722","ERR",27
"ERR028724","ERR",27
"ERR028725","ERR",27
"ERR028726","ERR",27
"ERR028727","ERR",27
"ERR028728","ERR",27
"ERR028729","ERR",27
"ERR028730","ERR",27
"ERR028731","ERR",27
"ERR028732","ERR",27
"ERR126246","ERR",27
"ERR108233","ERR",27
"ERR108230","ERR",27
"ERR108229","ERR",27
"ERR108226","ERR",27
"ERR108223","ERR",27
"ERR108221","ERR",27
"ERR108218","ERR",27
"ERR108217","ERR",27
"ERR108215","ERR",27
"ERR108211","ERR",27
"ERR024655","ERR",27
"ERR024656","ERR",27
"ERR024657","ERR",27
"ERR024659","ERR",27
"ERR024660","ERR",27
"ERR024661","ERR",27
"ERR024662","ERR",27
"ERR024663","ERR",27
"ERR024664","ERR",27
"ERR024665","ERR",27
"ERR024666","ERR",27
"ERR024642","ERR",27
"ERR024643","ERR",27
"ERR024646","ERR",27
"ERR024647","ERR",27
"ERR024648","ERR",27
"ERR024649","ERR",27
"ERR024650","ERR",27
"ERR024651","ERR",27
"ERR024652","ERR",27
"ERR024653","ERR",27
"ERR008616","ERR",27
"ERR008619","ERR",27
"ERR030387","ERR",27
"ERR030388","ERR",27
"ERR030389","ERR",27
